Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
PDH1,YPR002W,Q12428,"Putative 2-methylcitrate dehydratase; mitochondrial protein that participates in respiration; induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate",22.81,21.37,0.35,X,,,,0.97,0,0,X,,,X,,,,97%
PDI1,YCL043C,P17967,"Protein disulfide isomerase; multifunctional protein of ER lumen, essential for formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds; key regulator of Ero1p; forms complex with Mnl1p that has exomannosidase activity, processing unfolded protein-bound Man8GlcNAc2 oligosaccharides to Man7GlcNAc2, promoting degradation in unfolded protein response; PDI1 has a paralog, EUG1, that arose from the whole genome duplication",4.7,10.94,8.19,X,,,,0.88,0.06,0,,,,X,,,,88%
PDX1,YGR193C,P16451,E3-binding protein of the mitochondrial pyruvate dehydrogenase complex; plays a structural role in the complex by binding and positioning dihydrolipoamide dehydrogenase (E3) to the dihydrolipoamide acetyltransferase (E2) core,1.98,19.18,0.52,,X,,,0.04,0.93,0,,X,,,,,,93%
PDX3,YBR035C,P38075,Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism,4.09,4.28,69.21,,,,X,0.04,0.01,0,,,X,,,,,4%
PEP4,YPL154C,P07267,"Vacuolar aspartyl protease (proteinase A); required for posttranslational precursor maturation of vacuolar proteinases; important for protein turnover after oxidative damage; plays a protective role in acetic acid induced apoptosis; synthesized as a zymogen, self-activates",4.62,1.53,43.74,,,,X,0,0,0,,,,,,,,0%
PET10,YKR046C,P36139,Protein of unknown function that localizes to lipid particles; localization suggests a role in lipid metabolism; expression pattern suggests a role in respiratory growth; computational analysis of large-scale protein-protein interaction data suggests a role in ATP/ADP exchange,0.59,2.01,7.18,,,X,,0,0.04,0.73,X,,,,,,,73%
PET100,YDR079W,P38958,"Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme",0.39,7.93,0,,X,,,0,0.95,0.01,,X,,,,,,95%
PET111,YMR257C,P08468,Mitochondrial translational activator specific for the COX2 mRNA; located in the mitochondrial inner membrane,0.04,0.55,0.06,,,X,,0,0,0,,X,,,,,,0%
PET112,YBL080C,P33893,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog,3.87,3.22,0.08,,,,X,0,0,0,,,,,,,,0%
PET117,YER058W,Q02771,Protein required for assembly of cytochrome c oxidase,1.4,43.94,0.17,,X,,,0,0.83,0,,X,,,,,,83%
PET122,YER153C,P10355,Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane,0.2,4.38,0.1,,X,,,0,0.81,0.05,,X,,,,,,81%
PET123,YOR158W,P17558,"Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator",4.25,12.19,0.38,X,,,,0.83,0.12,0,,,,X,,,,83%
PET127,YOR017W,P32606,Protein with a role in 5'-end processing of mitochondrial RNAs; located in the mitochondrial membrane,1.03,6.22,0.21,,X,,,0,0.92,0,,X,,,,,,92%
PET130,YJL023C,P47065,"Protein required for respiratory growth; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.71,1.16,0,,,X,,0,0,0.77,,X,,,,,,77%
PET191,YJR034W,Q02772,Protein required for assembly of cytochrome c oxidase; exists as an oligomer; described as both an integral mitochondrial inner membrane protein facing the intermembrane space (IMS) and as a soluble IMS protein; contains a twin Cx9C motif; imported into the IMS via the MIA import machinery,4.99,14.97,0.32,X,,,,0.9,0.07,0,,,X,,,,,90%
PET20,YPL159C,Q99373,Mitochondrial protein; required for respiratory growth under some conditions and for stability of the mitochondrial genome,10.41,10.91,0,X,,,,0.97,0,0,,,,X,,,,97%
PET309,YLR067C,P32522,Specific translational activator for the COX1 mRNA; binds to the COX1 mRNA; also influences stability of intron-containing COX1 primary transcripts; localizes to the mitochondrial inner membrane; contains 12 pentatricopeptide repeats (PPRs),0.57,3.95,0,,X,,,0,0.73,0.14,,X,,,,,,73%
PET494,YNR045W,P07390,Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane,0.32,2.22,0,,,X,,0,0.13,0.72,,X,,,,,,72%
PET54,YGR222W,P10834,Mitochondrial inner membrane protein; binds to the 5' UTR of the COX3 mRNA to activate its translation together with Pet122p and Pet494p; also binds to the COX1 Group I intron AI5 beta to facilitate exon ligation during splicing,0.8,6.63,0.1,,X,,,0,0.94,0.01,,X,,,,,,94%
PET8,YNL003C,P38921,S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth,0.12,0.09,0,,,X,,0,0,0.73,,X,,,,,,73%
PEX14,YGL153W,P53112,"Central component of the peroxisomal importomer complex; peroxisomal protein import machinery docking complex component; interacts with both PTS1 (Pex5p) and PTS2 (Pex7p), peroxisomal matrix protein signal recognition factors and membrane receptor Pex13p",1.34,0.75,1.28,,,,X,0,0,0.13,,,,,,,,13%
PEX19,YDL065C,Q07418,Chaperone and import receptor for newly-synthesized class I PMPs; binds peroxisomal membrane proteins (PMPs) in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane; interacts with Myo2p and contributes to peroxisome partitioning,5.45,6.46,5.77,X,,,,0.62,0.01,0,,,,X,,,,62%
PEX30,YLR324W,Q06169,"Peroxisomal integral membrane protein; involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p; PEX30 has a paralog, PEX31, that arose from the whole genome duplication",0.67,1.36,3.61,,,X,,0,0,0.79,,X,,,,,,79%
PFK1,YGR240C,P16861,"Alpha subunit of heterooctameric phosphofructokinase; involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes",1.95,2.48,##,,,,X,0,0.01,0,,,,,,,,1%
PGI1,YBR196C,P12709,Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation,1.64,3.53,69.86,,,,X,0,0.19,0.01,,,,,,,,19%
PGK1,YCR012W,P00560,"3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis",2.05,4.56,53.01,,,,X,0.01,0.31,0,,,,,,,,31%
PGS1,YCL004W,P25578,Phosphatidylglycerolphosphate synthase; catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis,0.96,11.2,0,,X,,,0,0.97,0,,X,,,,,,97%
PHB1,YGR132C,P40961,Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR),0.23,0.08,0.26,,,X,,0,0,0.95,,X,,,,,,95%
PHB2,YGR231C,P50085,Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR),0.19,0.08,0.37,,,X,,0,0,0.93,,X,,,,,,93%
PHM7,YOL084W,Q12252,Protein of unknown function; expression is regulated by phosphate levels; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole; protein abundance increases in response to DNA replication stress,0.21,1.03,##,,,X,,0,0,0.88,,X,,,,,,88%
PHO88,YBR106W,P38264,Probable membrane protein; involved in phosphate transport; role in the maturation of secretory proteins; pho88 pho86 double null mutant exhibits enhanced synthesis of repressible acid phosphatase at high inorganic phosphate concentrations,0.36,0.54,3.66,,,X,,0,0,0.96,X,,,,,,,96%
PIC2,YER053C,P40035,Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature,0.17,0.27,0.17,,,X,,0,0,0.92,,X,,,,,,92%
PIL1,YGR086C,P53252,Eisosome core component; eisosomes are large immobile cell cortex structures associated with endocytosis; detected in phosphorylated state in mitochondria; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutant shows activation of Pkc1p/Ypk1p stress resistance pathways; member of BAR domain family; protein increases in abundance and relocalizes from plasma membrane to cytoplasm upon DNA replication stress,0.39,21.73,4.87,,X,,,0,0.82,0,X,,,,,,,82%
PIM1,YBL022C,P36775,ATP-dependent Lon protease; involved in degradation of misfolded proteins in mitochondria; required for biogenesis and maintenance of mitochondria,0.67,14.44,0.47,,X,,,0,0.97,0,,X,,,,,,97%
PKP1,YIL042C,P40530,Mitochondrial protein kinase; involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p,0.4,6.59,0,,X,,,0,0.93,0.02,,X,,,,,,93%
PKP2,YGL059W,P53170,Mitochondrial protein kinase; negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p; relocalizes from mitochondrion to cytoplasm upon DNA replication stress,0.48,3.74,0.38,,X,,,0,0.67,0.2,,X,,,,,,67%
PLB1,YMR008C,P39105,"Phospholipase B (lysophospholipase) involved in lipid metabolism; required for efficient acyl chain remodeling of newly synthesized phosphatidylethanolamine-derived phosphatidylcholine; required for deacylation of phosphatidylcholine and phosphatidylethanolamine but not phosphatidylinositol; PLB1 has a paralog, PLB3, that arose from the whole genome duplication",1.8,0.38,##,,,,X,0,0,0.01,,,,,,,,1%
PMT1,YDL095W,P33775,"Protein O-mannosyltransferase of the ER membrane; transfers mannose from dolichyl phosphate-D-mannose to protein serine and threonine residues; 1 of 7 related proteins involved in O-glycosylation which is essential for cell wall rigidity; involved in ER quality control; amino terminus faces cytoplasm, carboxyl terminus faces ER lumen",0.5,0.21,3.83,,,X,,0,0,0.95,X,,,,,,,95%
PMT2,YAL023C,P31382,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",0.41,0.21,1.42,,,X,,0,0,0.96,X,,,,,,,96%
PNS1,YOR161C,Q12412,"Protein of unknown function; has similarity to Torpedo californica tCTL1p, which is postulated to be a choline transporter, neither null mutation nor overexpression affects choline transport",0.16,0.11,1.58,,,X,,0,0,0.9,,X,,,,,,90%
PNT1,YOR266W,P38969,"Mitochondrial integral inner membrane protein; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p; deletion mutant sensitive to the anti-Pneumocystis carinii drug pentamidine",0.31,0.21,0.13,,,X,,0,0,0.97,,X,,,,,,97%
POM152,YMR129W,P39685,"Glycoprotein subunit of transmembrane ring of nuclear pore complex; contributes to nucleocytoplasmic transport, nuclear pore complex (NPC) biogenesis and spindle pole body duplication; homologous to human NUP210",2.03,1.17,0,,,,X,0,0,0,,,,,,,,0%
POR1,YNL055C,P04840,Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress,0.27,0.07,0.49,,,X,,0,0,0.95,X,,,,,,,95%
POR2,YIL114C,P40478,"Putative mitochondrial porin (voltage-dependent anion channel); not required for mitochondrial membrane permeability or mitochondrial osmotic stability; POR2 has a paralog, POR1, that arose from the whole genome duplication",0.3,0.23,0.09,,,X,,0,0,0.97,X,,,,,,,97%
POS5,YPL188W,Q06892,Mitochondrial NADH kinase; phosphorylates NADH; also phosphorylates NAD(+) with lower specificity; required for the response to oxidative stress,7.39,9.97,0.45,X,,,,0.95,0,0,,,,X,,,,95%
POT1,YIL160C,P27796,3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids,2.27,3.85,413.89,,,,X,0,0.1,0,,,X,,,,,10%
PPA2,YMR267W,P28239,Mitochondrial inorganic pyrophosphatase; required for mitochondrial function and possibly involved in energy generation from inorganic pyrophosphate,7.24,19.42,0.17,X,,,,0.97,0.02,0,,,,X,,,,97%
PRD1,YCL057W,P25375,"Zinc metalloendopeptidase; found in the cytoplasm and intermembrane space of mitochondria; with Cym1p, involved in degradation of mitochondrial proteins and of presequence peptides cleaved from imported proteins; protein abundance increases in response to DNA replication stress",6.97,9.52,1.1,X,,,,0.94,0.01,0,,,,X,,,,94%
PRX1,YBL064C,P34227,Mitochondrial peroxiredoxin with thioredoxin peroxidase activity; has a role in reduction of hydroperoxides; reactivation requires Trr2p and glutathione; induced during respiratory growth and oxidative stress; phosphorylated; protein abundance increases in response to DNA replication stress,3.58,25.8,0.91,X,,,,0.36,0.59,0,,,,X,,,,59%
PSA1,YDL055C,P41940,GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase); synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure,1.09,4.01,18.75,,X,,,0,0.62,0.03,,X,,,,,,62%
PSD1,YNL169C,P39006,Phosphatidylserine decarboxylase of the mitochondrial inner membrane; converts phosphatidylserine to phosphatidylethanolamine; regulates mitochondrial fusion and morphology by affecting lipid mixing in the mitochondrial membrane and by influencing the ratio of long to short forms of Mgm1p; partly exposed to the mitochondrial intermembrane space,0.26,7.11,0.02,,X,,,0,0.91,0.02,,X,,,,,,91%
PST2,YDR032C,Q12335,"Protein with similarity to a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress; PST2 has a paralog, RFS1, that arose from the whole genome duplication",1.06,9.64,5.57,,X,,,0,0.97,0,,X,,,,,,97%
